iRECORD_ID,iCIK,iCUSIP,iPERIOD_END,iFILING_DATE,iAMEND,iRESTATEMENT,iTYPE,iQTY,iMARKET_VALUE,iLONG_FRACTION
4443888,0001044330,209615103,1999-12-31,2000-01-03,0,0,0,32398,1497,0.00432025
4443889,0001044330,993001486,1999-12-31,2000-01-03,0,0,0,43755,2975,0.00858566
4443890,0001044330,628530107,1999-12-31,2000-01-03,0,0,0,10454,243,0.000701283
4443891,0001044330,191216100,1999-12-31,2000-01-03,0,0,0,27680,429,0.00123807
4443892,0001044330,125509109,1999-12-31,2000-01-03,0,0,0,3450,277,0.000799404
4443893,0001044330,590188108,1999-12-31,2000-01-03,0,0,0,3825,210,0.000606047
4443894,0001044330,55268B106,1999-12-31,2000-01-03,0,0,0,99222,4725,0.013636
4443895,0001044330,882508104,1999-12-31,2000-01-03,0,0,0,23600,2153,0.00621342
4443896,0001044330,993000140,1999-12-31,2000-01-03,0,0,0,72000,297,0.000857123
4443897,0001044330,06423A103,1999-12-31,2000-01-03,0,0,0,111421,777,0.00224237
4443898,0001044330,589331107,1999-12-31,2000-01-03,0,0,0,100147,4227,0.0121989
4443899,0001044330,68389X105,1999-12-31,2000-01-03,0,0,0,59367,5663,0.0163431
4443900,0001044330,177835105,1999-12-31,2000-01-03,0,0,0,24240,256,0.0007388
4443901,0001044330,362320103,1999-12-31,2000-01-03,0,0,0,19172,1141,0.00329285
4443902,0001044330,59021G204,1999-12-31,2000-01-03,0,0,0,14000,178,0.000513697
4443903,0001044330,91273H101,1999-12-31,2000-01-03,0,0,0,9682,510,0.00147183
4443904,0001044330,268648102,1999-12-31,2000-01-03,0,0,0,3885,180,0.000519469
4443905,0001044330,00724F101,1999-12-31,2000-01-03,0,0,0,21995,1450,0.00418461
4443906,0001044330,258609304,1999-12-31,2000-01-03,0,0,0,1002,253,0.000730142
4443907,0001044330,456866102,1999-12-31,2000-01-03,0,0,0,5130,44,0.000126981
4443908,0001044330,370442105,1999-12-31,2000-01-03,0,0,0,14015,559,0.00161324
4443909,0001044330,16161A108,1999-12-31,2000-01-03,0,0,0,3726,38,0.000109666
4443910,0001044330,880591201,1999-12-31,2000-01-03,0,0,0,11775,248,0.000715712
4443911,0001044330,203564109,1999-12-31,2000-01-03,0,0,0,60075,811,0.00234049
4443912,0001044330,110122108,1999-12-31,2000-01-03,0,0,0,351998,11955,0.0345014
4443913,0001044330,12490K107,1999-12-31,2000-01-03,0,0,0,13335,466,0.00134485
4443914,0001044330,172967101,1999-12-31,2000-01-03,0,0,0,185912,9003,0.0259821
4443915,0001044330,718154107,1999-12-31,2000-01-03,0,0,0,44916,769,0.00221928
4443916,0001044330,293561106,1999-12-31,2000-01-03,0,0,0,65336,2724,0.00786129
4443917,0001044330,369905104,1999-12-31,2000-01-03,0,0,0,10300,4,0.0000115437
4443918,0001044330,035229103,1999-12-31,2000-01-03,0,0,0,13400,85,0.000245305
4443919,0001044330,002824100,1999-12-31,2000-01-03,0,0,0,75606,738,0.00212982
4443920,0001044330,616880100,1999-12-31,2000-01-03,0,0,0,2365,188,0.000542556
4443921,0001044330,989701107,1999-12-31,2000-01-03,0,0,0,16964,977,0.00281956
4443922,0001044330,617446448,1999-12-31,2000-01-03,0,0,0,18539,2367,0.00683101
4443923,0001044330,902124106,1999-12-31,2000-01-03,0,0,0,57049,1441,0.00415863
4443924,0001044330,58440J104,1999-12-31,2000-01-03,0,0,0,10506,637,0.00183834
4443925,0001044330,69332S201,1999-12-31,2000-01-03,0,0,0,9105,1292,0.00372863
4443926,0001044330,370120107,1999-12-31,2000-01-03,0,0,0,9958,718,0.0020721
4443927,0001044330,871829107,1999-12-31,2000-01-03,0,0,0,5456,215,0.000620476
4443928,0001044330,993001510,1999-12-31,2000-01-03,0,0,0,347,477,0.00137659
4443929,0001044330,717081103,1999-12-31,2000-01-03,0,0,0,86222,2369,0.00683678
4443930,0001044330,053015103,1999-12-31,2000-01-03,0,0,0,20500,156,0.000450206
4443931,0001044330,30231G102,1999-12-31,2000-01-03,0,0,0,280747,11923,0.034409
4443932,0001044330,984121103,1999-12-31,2000-01-03,0,0,0,17555,150,0.00043289
4443933,0001044330,37245X104,1999-12-31,2000-01-03,0,0,0,12175,127,0.000366514
4443934,0001044330,656569100,1999-12-31,2000-01-03,0,0,0,54912,5263,0.0151887
4443935,0001044330,931422109,1999-12-31,2000-01-03,0,0,0,15100,251,0.00072437
4443936,0001044330,905581104,1999-12-31,2000-01-03,0,0,0,6649,164,0.000473294
4443937,0001044330,D1668R123,1999-12-31,2000-01-03,0,0,0,3201,128,0.0003694
4443938,0001044330,446150104,1999-12-31,2000-01-03,0,0,0,40342,214,0.00061759
4443939,0001044330,101137107,1999-12-31,2000-01-03,0,0,0,17650,375,0.00108223
4443940,0001044330,73927C100,1999-12-31,2000-01-03,0,0,0,10236,245,0.000707054
4443941,0001044330,339030108,1999-12-31,2000-01-03,0,0,0,41947,1320,0.00380944
4443942,0001044330,171779101,1999-12-31,2000-01-03,0,0,0,42024,2340,0.00675309
4443943,0001044330,747525103,1999-12-31,2000-01-03,0,0,0,104280,17697,0.0510724
4443944,0001044330,458140100,1999-12-31,2000-01-03,0,0,0,89032,5667,0.0163546
4443945,0001044330,780097879,1999-12-31,2000-01-03,0,0,0,13000,176,0.000507925
4443946,0001044330,G56462107,1999-12-31,2000-01-03,0,0,0,106755,2384,0.00688007
4443947,0001044330,375766102,1999-12-31,2000-01-03,0,0,0,28857,687,0.00198264
4443948,0001044330,040234106,1999-12-31,2000-01-03,0,0,0,37950,5,0.0000144297
4443949,0001044330,751277302,1999-12-31,2000-01-03,0,0,0,8705,242,0.000698397
4443950,0001044330,913017109,1999-12-31,2000-01-03,0,0,0,9298,526,0.001518
4443951,0001044330,277461109,1999-12-31,2000-01-03,0,0,0,3962,110,0.000317453
4443952,0001044330,83080P103,1999-12-31,2000-01-03,0,0,0,27019,543,0.00156706
4443953,0001044330,G3921A100,1999-12-31,2000-01-03,0,0,0,50545,2442,0.00704746
4443954,0001044330,209115104,1999-12-31,2000-01-03,0,0,0,10167,293,0.000845579
4443955,0001044330,817315104,1999-12-31,2000-01-03,0,0,0,2802,277,0.000799404
