pSP_CUSIP,pSP_EXCHANGE,pSP_TICKER,pSP_DATE,pSP_VOLUME,pSP_OPEN,pSP_HIGH,pSP_LOW,pSP_CLOSE
013817101,"N     ","AA    ",1997-04-07,3087600,17,17.0625,16.6875,16.6875
013817101,"N     ","AA    ",1997-04-08,2640000,16.7188,16.7188,16.5312,16.625
013817101,"N     ","AA    ",1997-04-09,4686000,16.75,16.7812,16.5312,16.6875
013817101,"N     ","AA    ",1997-04-10,6288800,16.7188,16.9688,16.5938,16.6875
013817101,"N     ","AA    ",1997-04-11,3103600,16.5312,16.625,16.4375,16.4688
013817101,"N     ","AA    ",1997-04-14,3242000,16.5,16.5,16.3125,16.4375
013817101,"N     ","AA    ",1997-04-15,4028800,16.4375,16.8125,16.4062,16.6875
013817101,"N     ","AA    ",1997-04-16,4106000,16.6875,17.25,16.625,17.1562
013817101,"N     ","AA    ",1997-04-17,3114800,17.125,17.2188,16.875,17.0625
013817101,"N     ","AA    ",1997-04-18,1774800,17.0312,17.1562,16.9688,17.0938
013817101,"N     ","AA    ",1997-04-21,1699200,17.1562,17.1562,16.6875,16.8438
013817101,"N     ","AA    ",1997-04-22,2741200,16.8438,17.375,16.7812,17.375
013817101,"N     ","AA    ",1997-04-23,2709200,17.3125,17.4688,17.2188,17.4375
013817101,"N     ","AA    ",1997-04-24,1707200,17.625,17.6875,17.3125,17.4062
013817101,"N     ","AA    ",1997-04-25,1825200,17.4062,17.5312,17.2812,17.375
013817101,"N     ","AA    ",1997-04-28,1765200,17.2812,17.2812,17.0781,17.125
013817101,"N     ","AA    ",1997-04-29,1111600,17.3438,17.5,17.2188,17.4375
013817101,"N     ","AA    ",1997-04-30,3302000,17.4375,17.5938,17.4062,17.4688
013817101,"N     ","AA    ",1997-05-01,1959200,17.4375,17.4375,17.125,17.3125
013817101,"N     ","AA    ",1997-05-02,2680000,17.2812,17.5625,17.2812,17.5625
013817101,"N     ","AA    ",1997-05-05,2823200,17.5625,17.7812,17.375,17.6562
013817101,"N     ","AA    ",1997-05-06,2944800,17.5312,18.1562,17.5312,18.0938
013817101,"N     ","AA    ",1997-05-07,3768000,18.1562,18.3438,17.5312,17.625
013817101,"N     ","AA    ",1997-05-08,3062400,17.7188,18.125,17.6562,17.875
013817101,"N     ","AA    ",1997-05-09,1594800,18.0312,18.0625,17.75,17.8438
013817101,"N     ","AA    ",1997-05-12,2426800,17.8125,18.2812,17.8125,18.2188
013817101,"N     ","AA    ",1997-05-13,3536000,18.2812,18.5312,18.1562,18.375
013817101,"N     ","AA    ",1997-05-14,3071600,18.3438,18.5312,18.0625,18.0938
013817101,"N     ","AA    ",1997-05-15,2280000,18.0938,18.375,18.0312,18.3438
013817101,"N     ","AA    ",1997-05-16,2134400,18.3438,18.4062,18.2188,18.3125
013817101,"N     ","AA    ",1997-05-19,1962400,18.3438,18.5938,18.25,18.4062
013817101,"N     ","AA    ",1997-05-20,2861200,18.25,18.25,17.875,18.1875
013817101,"N     ","AA    ",1997-05-21,1038800,18.1875,18.3438,18,18.0625
013817101,"N     ","AA    ",1997-05-22,1213200,18.0312,18.2188,17.8438,18
013817101,"N     ","AA    ",1997-05-23,1095200,18,18.4688,18,18.4375
013817101,"N     ","AA    ",1997-05-27,2830800,18.375,18.6875,18.125,18.6875
013817101,"N     ","AA    ",1997-05-28,2937200,18.625,18.6562,18.2188,18.375
013817101,"N     ","AA    ",1997-05-29,1716400,18.4375,18.625,18.3438,18.4062
013817101,"N     ","AA    ",1997-05-30,2818000,18.4062,18.5,18.2188,18.4062
013817101,"N     ","AA    ",1997-06-02,2778800,18.4688,18.5312,18.3438,18.375
013817101,"N     ","AA    ",1997-06-03,2607600,18.1562,18.7188,18.1562,18.6562
013817101,"N     ","AA    ",1997-06-04,2238800,18.5625,18.5625,18.375,18.4688
013817101,"N     ","AA    ",1997-06-05,1343200,18.625,18.7227,18.4688,18.625
013817101,"N     ","AA    ",1997-06-06,2515600,18.5,18.7188,18.25,18.6875
013817101,"N     ","AA    ",1997-06-09,3385600,18.5,18.8438,18.2188,18.2188
013817101,"N     ","AA    ",1997-06-10,4164400,18.2812,18.6875,18.25,18.625
013817101,"N     ","AA    ",1997-06-11,3412800,18.6562,19.1562,18.6562,19.1562
013817101,"N     ","AA    ",1997-06-12,4064400,19.1562,19.4375,19,19.4375
013817101,"N     ","AA    ",1997-06-13,4434000,19.8125,19.8125,19.3125,19.4062
013817101,"N     ","AA    ",1997-06-16,1940800,19.4062,19.4688,19.1875,19.2188
013817101,"N     ","AA    ",1997-06-17,2672000,19.0312,19.2812,18.9062,19.125
013817101,"N     ","AA    ",1997-06-18,2440400,18.875,19.2188,18.875,19
013817101,"N     ","AA    ",1997-06-19,2111600,19,19.2812,19,19
013817101,"N     ","AA    ",1997-06-20,3757200,19.1562,19.1719,18.9375,19
013817101,"N     ","AA    ",1997-06-23,2215200,18.9375,19.0625,18.5312,18.5625
013817101,"N     ","AA    ",1997-06-24,2582400,18.625,18.875,18.4531,18.7969
013817101,"N     ","AA    ",1997-06-25,4418400,18.75,19.1562,18.5625,18.5938
013817101,"N     ","AA    ",1997-06-26,3740800,18.5625,18.875,18.5625,18.8438
013817101,"N     ","AA    ",1997-06-27,2106400,18.9688,19,18.7812,19
013817101,"N     ","AA    ",1997-06-30,2419200,19.125,19.3438,18.8438,18.8438
013817101,"N     ","AA    ",1997-07-01,2499600,18.9062,19.5,18.9062,19.0938
013817101,"N     ","AA    ",1997-07-02,4188400,18.875,19.5625,18.7812,19.5625
013817101,"N     ","AA    ",1997-07-03,2088000,19.3125,19.3594,19.125,19.25
013817101,"N     ","AA    ",1997-07-07,3462000,19.1875,19.625,18.9688,19.5625
013817101,"N     ","AA    ",1997-07-08,2975600,19.5,20.1094,19.375,19.9531
013817101,"N     ","AA    ",1997-07-09,2168400,19.9062,20,19.375,19.4688
013817101,"N     ","AA    ",1997-07-10,1821200,19.4844,19.6875,19.375,19.4531
